"Word","Part_of_Speech","Etymology","Definition","Examples_and_Notes","Source_Page"
"Bír","n.m.","S. Vīra","(1) A hero; (2) The deity Hanumán or Bhairab","Also used in compounds, e.g. Banbír, Lánkṛábír","18"
"Biṛí","n.f.","","A green twig used for brushing the teeth","-láṇí, v.a. re. To brush the teeth","18"
"Birié","n.m.","","A polite term used in addressing a maiden","","18"
"Bishu","n.f.","S. Viňshati","A score, 20","","18"
"Bishká or -ú","adj.","","Empty","m.; f. -í, pl. -é","18"
"Bish-háthe","adv.","","Empty-handed","","18"
"Bish-ṭáňg","n.f.","","(1) The remuneration of a headman at the rate of 6 pies per rupee of land revenue (Kuṭhár). (2) A present to an officer in cash (all the Simla Hill States). (3) A bribe.","-deṇí, v.t. re. To give a present. (Also kór).","18"
"Bishú","n.m.","S. Viṣhuva","(1) The moment of the sun's reaching Aries; (2) A song sung by low-caste people in April","","18"
"Bíú","adj.","","Good","-hoṇu, v.i. ir. To be convalescent","18"
"Biyá or -ú","adj.","","Good; adv. Quite well","m.; f. -í, pl. -é","18"
"Biyé-re-muňḍé","adj. pl.","","Disciples of wise men","","18"
"Bláj","n.m.","S. Valirāja","A night fair","Also barláj or brláj","18"
"Blá'k or bulák","n.m.","","A nose-ring","","18"
"Blair","n.m.","","A low caste (often called 'mate')","Also halmandí","18"
"Bláwlá","n.m.","","Condolence","-deṇá, v.t. ar. To condole","18"
"Blel","n.f.","","Evening, eve","","18"
"Blíyá","int.","","O my","m.; f. -é","18"
"Boá","n.m.","","Flight","","18"
"Bobó","n.f.","","(1) A sister or adopted sister; (2) A very polite term used in addressing a woman","","18"
"Bodrí","n.m.","","A kind of disease, chicken-pox","-nikalṇí, v.t. re. To suffer from chicken-pox","18"
"Boé","v.p.p.","","Passed away","","18"
"Bohit","adj.","H. bahut","Much, abundant","m.","18"
"Bohú","n.f.","S. Vadhú","Daughter-in-law","","18"
"Bojhá","n.m.","H. bojh","A load","","18"
"Bo'k-bidyá","n.f.","","Jesting, mocking","","18"
"Boki","adj.","","Talkative","m. and f.","18"
"Bokṇu","v.t. re.","","To jest, to mock","f. -í, pl. -é","18"
"Bol","n.m.","","A high wooded place","","19"
"Bó'l","n.m.","","(1) A speech, a saying; (2) An oral agreement whereby one's daughter is betrothed to a boy, in default the sum of Rs. 20 is paid as damages.","","19"
"Bolṇu","v.t. re.","","To speak","f. -í, pl. -é","19"
"Bóň","n.f.","","See Báoṛí","","19"
"Bóň","n.m.","","See Ban","","19"
"Boṇ-ṇu","v.i. re.","","To flow","","19"
"Boṇu","v.t. re.","","See Bijṇu","","19"
"Bo'ti","n.f.","","See Bohú","","19"
"Boṭí","n.f.","","A bit of flesh","-boṭí-karṇí, v.t. re. To cut in pieces","19"
"Boṭí or boṭiyá","n.m.","","A cook","f. -aṇ","19"
"Bou","n.f.","S. Vadhú; H. bahú","Daughter-in-law","","19"
"Bóúmeň","v. pl.","","We will, or should, sow","","19"
"Bowṇu","v.i. re.","","To roll down, to flow","f. -í, pl. -é","19"
"Bpárí","n.m.","H. byápárí","A trader, a merchant","","19"
"Brá","n.m.","","A weight equal to 4 ṭhakrís or 6 sers","The area sown with one árhá is reckoned equal to a bighá (Jubbal).","19"
"Brága","n.f.","","The wife of a bairágí","","19"
"Brágar","n.m.","","Ear-rings","","19"
"Brágí","n.m.","","Bairágí, a Vaishnava","","19"
"Brágaṇ","n.f.","","A lioness or tigress","","19"
"Brágg","n.m.","S. Vyāghra","A leopard or panther","f. -aṇ. -ṭu, n.m. A leopard cub.","19"
"Brail","n.f.","S. Viḍāla","A cat","Also brqilí. Dim. bral-ṭí, kitten.","19"
"Bráss","n.m.","","The rhododendron","","19"
"Brát","n.f.","","(1) Dunning; (2) (H. bárát) A wedding procession","","19"
"Brátí-beṭhṇu","v.s. re.","","To dun","Also brát-líṇ","19"
"Bresht","n.m.","S. Vṛihaspati","Thursday","","19"
"Bṭhith","n.m.","","Flour of pot-herb grain","","19"
"Bṭholí","n.f.","","Bread made of pot-herb grain","","19"
"Buárá or bwárá","n.m.","","A helper, one who helps a fellow villager and gets food, but no cash, in return","pl. Buáre or bwáre. -láṇe, v.a. re. To engage helpers; -dewṇu, v.i. re. To go to help.","19"
"Búbá","n.m.","","The husband of one's father's sister","f. -í, Father's sister; pl. -é","19"
"Bubér-bhái","n.m.","","Father's sister's son","","19"
"Budá","n.m.","","A bar","f. -í, pl. -é","19"
"Buddh","n.m.","S. Budha","(1) Wednesday; (2) Wisdom","","19"
"Búg","n.m.","","A cover, especially for a gun, a pillow or bedding","","19"
"Bugchá or -u","n.m.","","A bundle","f. -í, pl. -é","19"
"Buglí","n.f.","","Wrapping up the body in a sheet","-páṇí, v.s. re. To wrap up one's body in a sheet","19"
"Bujhṇu","v.t. re.","H. bújhṇá","To understand, to know","f. -í, pl. -é","20"
"Bujhṇwálá","n.m.","","One who understands or knows","f. -í, pl. -é","20"
"Bulák","n.m.","","See Blá'k","","20"
"Buláṇu","v.t. re.","H. buláná","To call, to invite","","20"
"Buňjá","adj.","","52","","20"
"Buṇ-ṇu","v.t. re.","H. bunná","To weave","f. -í, pl. -é","20"
"Burá or -u","adj.","","Bad, wicked, not good","m.; f. -í, pl. -é","20"
"Burá-bhájaṇá","v.i. re.","","To cease unhappiness","","20"
"Burá-lágná","v.i. re.","","To be unhappy","-mánná, v.i. re. To be displeased","20"
"Burí-ghálṇí","v.t. re.","","To harass, to put to trouble, to plague","","20"
"Burí-hoṇí","v.i. ir.","","To be in trouble","","20"
"Burí-lágṇí","v.i. re.","","To pine in love, to feel unpleasant","","20"
"Bwá'l","n.m.","S. Udgāra; H. ubál","(1) Overflowing; (2) Boiling","-jáṇu or -dewṇu, v.s. re. To overflow","20"
"Bwálṇu","v.t. re.","H. ubálná","To boil","","20"
"Bwárá","n.m.","","See Buárá","pl. -é","20"
"Byá","n.m.","S. Viváha","Marriage","Also byáh. -áhuňdá, m., f. -í huňdí, pl. -é huňde. Married.","20"
"Byáj","n.m.","H. byáj","Interest","","20"
"Byálí","n.f.","","Dinner","-cháṇṇí, v.i. re. To cook the dinner. -é, adv. In the evening. Byále re pahre áyá Ludro-Shib 'Ludlow Sahib came in the evening.'","20"
"Byálke-bakté","adv.","","In the evening time","","20"
"Byálkú or byálkí","n.f.","","The evening","","20"
"Byálí","n.f.","","Supper","","20"
"Byáltí","n.f.","","Evening","","20"
"Byáňhdá","n.m.","","A tax levied at a chief's wedding and on his children's marriages","Also Byáoḷ or Byáoḷi","20"
"Byáoḷ or byáoḷi","n.f.","","See Byáňhdá","","20"
"Byáshí","adj.","","82","-wáň, 82nd","20"
"Byóḷ","n.m.","","A kind of tree, the leaves of which are given to cattle as fodder","","20"
"Byórá or -u","adj.","","(1) Reversed, upset; (2) contrary, left","m.; f. -í, pl. -é. Also beorá.","20"
"Byórá","n.m.","","Detailed account","","20"
"Cha'b","n.m.","","A food made of rice and sugar","","20"
"Chabhokṇu","v.t. re.","","To dip","","20"
"Chabṇu","v.t. re.","","To chew","f. -í, pl. -é","20"
"Chabútrá","n.m.","","A raised bank or terrace, open or covered","","20"
"Chabútrá-wazír or Shrí-wazír","n.m.","","The prime-minister, chief minister","The former form was used in Kullú and the latter in Bashahr","20"
"Chachá","n.m.","","Uncle","f. -í, Aunt; pl. -é","20"
"Chachéṇu","v.i. re.","","To cry or scream","f. -í, pl. -é","20"
"Chádar","n.m.","","A sheet of cloth","","20"
"Chádr","n.f.","H. chaddar","A scarf","","21"
"Cháer","n.f.","","See Chár","","21"
"Cháetu or cháethu or -á","adj.","","(1) Thin, straight; (2) Easy","","21"
"Chaftá or -u","adj.","","Thin, straight","m.; f. -í, pl. -é","21"
"Chagarṇu","v.t. re.","","See Chagrṇu","","21"
"Chagrṇu or chagarṇu","v.t. re.","","To know, to come to feel","f. -í, pl. -é","21"
"Cháh","n.f.","","(1) Desire; (2) Tea","-ṇu, v.t. re. To wish","21"
"Chain","n.f.","P. chain","Peace, tranquillity","-parṇí, v.s. re. To be peaceful","21"
"Chair","n.m.","","The true or Golden Pheasant","","21"
"Chajará or -u","adj.","","Good, fine","m.; f. -í, pl. -é","21"
"Chák","n.m.","","(1) An ornament; (2) A potter's wheel","","21"
"Cháká","n.m.","","Service in cantonments","Obs., Kullú","21"
"Chákar","n.m.","H. chákar","A servant","f. -í, Service","21"
"Chakchuňjrí","n.f.","","A squirrel","","21"
"Cháké","n.m. pl.","","Roofing slates","-á, sing.","21"
"Cháke-beṭhṇu","v.t. re.","","To realize a fine by sitting at one's door","","21"
"Chakhauṇí","n.f.","","A taste","","21"
"Chákhṇu","v.t. re.","H. chakhná","To taste","","21"
"Chákí","n.f.","H. chakkí","A handmill","","21"
"Chakká","n.m.","","See Bast","","21"
"Chakkar","n.m.","H. chakkar","Circle, round","-láṇu, or -deṇu, v.a. re. To turn round","21"
"Cháklá or -u","n.m.","","A round stone","f. -í, pl. -é","21"
"Chakleot","n.f.","","The blackbird (chakiyoṭ)","","21"
"Chakṇu","v.t. re.","","To carry, to lift up","f. -í, pl. -é","21"
"Chakó'r","n.m.","","See Chákru","","21"
"Chákri","n.f.","","Service","-karṇí, v.t. ir. To serve","21"
"Chákru","n.m.","","The chikor","also chakóí","21"
"Chákú","n.m.","H. chakkú","A knife","","21"
"Chá'l","n.f.","H. chál","(1) Gait; (2) A custom","","21"
"Chálá","n.m.","","Shaking","-hoṇá, v.s. ir. To be shaken","21"
"Chaláná-deṇá","v.i. ir.","","To go on, to proceed","","21"
"Chalbér","n.m.","","Breakfast time","Also chalihir","21"
"Chali-jáṇu","v.i. re.","","To go on","-jáṇ-ṇu, v.i. re. To walk","21"
"Chálú","n.m.","","See Palgárí (Bashahr)","","21"
"Chalṇu","v.v. re.","H. chalná","To walk, to go on, to proceed","f. -í, pl. -é","21"
"Chamár","n.m.","S. Charmakāra; H. chamár","A shoemaker","","21"
"Chamáshá","n.m.","S. Chāturmāsya","The monsoon, the rainy season, wet weather","","21"
"Chámbá","n.m.","","(1) Copper; (2) A fragrant yellow flower","","21"
"Chámbá","n.m.","S. Champaka","A tree bearing a fragrant yellow flower (Michelia champaca)","Proverb: Chámbá-tale bhekhlá jámí: 'Under a fragrant flower tree there grew a thorny plant.' (Used of the son of a well-to-do man who has none of his father's qualities)","21"
"Cham-chainaṭ","n.m.","","(1) Shining or blazing; (2) Flash of lightning","","22"
"Cham-gádaṛ","n.m.","H. chamgídaṛ","A bat","","22"
"Chamkáwṇu","v.t. re.","","To cause to shine","f. -í, pl. -é","22"
"Chamkṇu","v.i. re.","","(1) To shine; (2) To flash; (3) To be in power","f. -í, pl. -é","22"
"Champkalí","n.f.","","An ornament worn by women on the neck (It is made either of gold or of silver)","","22"
"Chámṛí","n.f.","","The skin","-ṭwárṇí, v.t. re. To whip","22"
"Chaṇál","n.m.","","A low caste, e.g., a shoe-maker","","22"
"Chá'n-chak","adv.","","Vain, in vain, without reason","","22"
"Cháňd","n.m.","S. Chandra; P. chánd","The moon","","22"
"Chaṇḍál","n.m.","S. Cháṇḍāla, sweeper","A wicked man","","22"
"Chaňḍol","n.m.","","A swing made of wood, to seat four","","22"
"Chandra","adj.","","Wicked, bad","m.; f. -í, pl. -é","22"
"Changá, -u","adj.","","Good, fine","m.; f. -í, pl. -é (changá)","22"
"Chángai","n.m.","","The upper storey of a house","","22"
"Cháhṇu","v.t. re.","","To desire, to wish","f. -í, pl. -é","22"
"Chaňk","n.f.","","A bit, a very small part","Mádu máňgo adh-bhá, Ráṇí ná deo chaňk 'Mádú wants the half, the Rání will not give a bit'","22"
"Chaňkṇu","v.t. re.","","See Chábṇu","","22"
"Chánná","n.m.","","The kernel of a fruit","pl. -é","22"
"Cháṇ-ṇu","v.t. re.","","(1) To make; (2) To cook","f. -í, pl. -é","22"
"Chaṇṭál","adj.","","See chaṇḍál","","22"
"Cháṇu","v.t. re.","H. cháhná","To want, to wish, to desire","f. -í, pl. -é","22"
"Cháo","n.m.","","See Cháw","","22"
"Chapṇu","v.t. re.","","To chew","-é-jogu, -á, f. -í, pl. -é 'Fit to chew.' - see Chábṇu","22"
"Chár","adj.","H. chár","Four","Chauthá, m.; f. -í, pl. -é, fourth","22"
"Chár","n.m.","H. áchár","A kind of sauce","","22"
"Charaṇ","n.m. pl.","S. Charaṇa","Feet","","22"
"Charán","n.m.","","Grazing ground","","22"
"Chár-deṇí","v.t. ir.","","To drive game","","22"
"Charáwṇu","v.t. re.","","To graze","f. -í, pl. -é","22"
"Chaṛhái","n.f.","","(1) An ascent; (2) An invasion","","22"
"Chaṛhṇu","v.t. re.","","(1) To climb up; (2) To mount","f. -í, pl. -é","22"
"Charj","n.m.","S. Áshcharya","Wonder, surprise","","22"
"Chárjí","n.m.","S. Áchárya","A Krishna Brahman, who receives the death-bed gifts","","22"
"Charkhá","n.m.","H. charkhá","Spinning wheel","-kátṇá, v.i. re. To spin","22"
"Charṇu","v.i. re.","H. charná","To graze","f. -í","22"
"Chaská","n.m.","","Fondness, eagerness","-paṛṇá, v.i. re. To be fond","22"
"Chatar","adj.","S. Chatura","Clever, wise, active","","22"
"Chaṭikṇu","v.e. re.","","To crack","f. -í, pl. -é","22"
"Cháṭṇu","v.t. re.","H. cháṭná","To lick","f. -í, pl. -é","22"
"Chatrái","n.f.","S. Cháturī","Cleverness, wisdom","","22"
"Chaubí","adj.","","24","-wáň, 24th","22"
"Chaudash","n.f.","S. Chaturdashī","The fourteenth day of the bright or dark half of a month","","23"
"Chauṇ","adj.","","Three","chíú, chijá, or chíyá, f. -í, pl. -é, third","23"
"Chauṇlá","n.m.","","A wild beast with a white tail","f. -í, pl. -é","23"
"Chauňr","n.m.","S. Chamara","A chowry, the tail of the yák used to whisk off flies, etc; also as an emblem or insigne of princely rank","","23"
"Chaurá or -u","adj.","H. chauṛá","Wide, broad","m.; f. -í, pl. -é","23"
"Chaurá","n.m.","","(1) A terrace, a courtyard; (2) A chowry tail","f. -í","23"
"Chauth","n.f.","S. Chaturthī","The fourth day of the bright or dark half of a month","","23"
"Chau'ṭhí","n.f.","","A small hole near the hearth of a cook-room in which salt and red pepper are put","","23"
"Cháw","n.m.","","Pleasure, ambition","-hoṇá, v.s. re. To be ambitious - Also Cháo","23"
"Cháwaṇu","v.t. re.","","To absorb","f. -í, pl. -é","23"
"Chéfar","n.m.","","A long shelf or plank to keep things on","Also Párchh","23"
"Chehṇú","n.m.","","A pole with two horns","","23"
"Cheň-uň","n.m.","","The edible mushroom","","23"
"Chelá","n.m.","","A disciple, a scholar","f. -í, pl. -é","23"
"Chele","n.m.","","See Diwáň, Diňwáň","","23"
"Ché'lí","n.f.","","(1) Breakfast; (2) The second morning meal","-cháṇṇí, v.t. re. To prepare breakfast","23"
"Chéol, chéwṛ","n.m.","","A beam of timber","","23"
"Chér","n.m.","","See Chair","","23"
"Cherá","n.m.","","A wooden bolt","","23"
"Chét or chéch","n.m.","S. Chaitra","The 12th month of the Hindús, corresponding to March","","23"
"Chetá","n.m.","","(1) Memory; (2) Treatment","-chaugshí, n.f. Careful treatment","23"
"Chethá-chethí","n.f.","","Teasing, bothering","","23"
"Chethá-huňdá or -u","adj.","","Spoiled","m.; f. -í, pl. -é","23"
"Chetá-rákhṇá","v.t. re.","","To take care of","","23"
"Chethṇá","v.t. re.","","To spoil, to bother, to render useless","f. -í, pl. -é","23"
"Chetrṇu","v.t. re.","","(1) To feel; (2) To be cautious","pl. -é","23"
"Chettá or -ú","adj.","","Narrow","m.; f. -í, pl. -é. Also churúṭi","23"
"Chetuwáṇu","v.t. re.","","To recollect, to recall to memory","f. -í, pl. -é","23"
"Chéúň","n.m.","","A kind of edible toadstool, morel","Also chyúň","23"
"Chéwal","n.m.","","A beam of timber","Also dásá","23"
"Chhá","n.f.","","Watery curd","-dhuṇ-ṇí or -chholṇí, v.i. re. To churn","23"
"Chhabrá or -u","n.m.","","A large wide basket of bamboo, to put bread in","f. -í, pl. -é","23"
"Chhabṭá","n.m.","","A grain measure, equal to 2 sers","","23"
"Chháchhá","n.m.","","A minute kind of gnat of yellow colour. It is found in Shuňgrí, Khadrálá, etc., in the Bashahr territory.","pl. -é. When it bites a prick is felt and the pain increases and lasts for six months.","23"
"Chhádṇu","v.t. re.","","To leave","f. -í, pl. -é","24"
"Chháetu or -á","adj.","","See Cháetu","m.; f. -í, pl. -é","24"
"Chhái","n.f.","","See Astu","","24"
"Chháiň","n.f.","S. Chháyá","Shade, shadow","-parṇí, v.i. re. To become shady","24"
"Chháká","n.m.","","A day's labour paid with 2 sers of grain and a meal (Biláspur)","","24"
"Chhakar-dádá","n.m.","","The great-great-grandfather","","24"
"Chhakku","n.m.","","A small basket","","24"
"Chhakṇu","v.t. re.","","To eat","f. -í, pl. -é","24"
"Chhal","n.m.","","Fright, terror (from an evil spirit)","-chhiddar, n.m. A trick, pretension","24"
"Chhá'l","n.f.","","A wave","Nháṇe ri chhá'l. Bathing.","24"
"Chhálá","n.m.","","Ring (of finger)","Also chhallá","24"
"Chhaláká","n.m.","","A long wave","pl. -é","24"
"Chhaláňg","n.f.","","A skip, or jump","","24"
"Chhallá","n.m.","","A ring","Also chháp","24"
"Chhállí","n.f.","","Indian corn","Also chhallí","24"
"Chhalṇu or chhalwṇu","v.i. re.","","To be frightened or terrified by an evil spirit","","24"
"Chhálṇí","n.f.","","A sieve","-chháṇṇu, v.t. re. To wash, to clean; f. -í, pl. -é","24"
"Chhálú","n.m.","","A blister","","24"
"Chháṇṭú","adj.","","Selected, the best","alike in all genders and numbers","24"
"Chhamáhí","n.f.","","Half-yearly","-máňgṇu, v.i. re. To ask for grain at each harvest","24"
"Chhambar","n.m.","","A kind of plant; adj. Spotted","adj. m.; f. -í, pl. -é","24"
"Chhamchhamát","n.m.","","The tinkle of metal ornaments","","24"
"Chhádmó","n.m.","S. Chhadma","Deceit","","24"
"Chháḍṇu","v.t. re.","","To release, to leave","f. -í, pl. -é","24"
"Chháň","n.f.","","A leafy roof, a cattleshed","","24"
"Chháňḍe","n.m.","","Entertaining","-rákhṇu, v.t. re. To entertain. Chháňḍe kanié rákhúň 'What am I to entertain you with?'","24"
"Chhángá or -ú","adj.","","One who has six fingers or toes","m.; f. -í, pl. -é","24"
"Chháṇite","adv.","","By chance","","24"
"Chháṇ-ṇu","v.t. re.","","To sift","f. -í, pl. -é","24"
"Chháňṭṇu","v.t. re.","","(1) To select; (2) To cut, to lop","","24"
"Chháṇu","v.t. re.","","To roof","f. -í, pl. -é. Also chháwṇu","24"
"Chháp","n.f.","","(1) A ring (of a finger); (2) A seal","","24"
"Chhápar","n.m.","","A roof","f. -í, A small roof; pl. Chhapro","24"
"Chhapáwṇu","v.t. re.","H. chhipáná","To hide","f. -í, pl. -é","24"
"Chhapká","n.m.","","A sudden blow or stroke","","24"
"Chhapṇu","v.i. re.","","(1) To set; (2) To hide","f. -í, pl. -é","24"
"Chhápṇu","v.t. re.","H. chhápná","To print, to impress","","24"
"Chhárṇí","n.f.","","Ashes","See Bhasmá","24"
"Chhaṛ","n.f.","","A basket to keep a chief's robes in","","25"
"Chhaṛáwṇu","v.t. re.","","To take back, to take away by force","f. -í, pl. -é","25"
"Chhaṛí","n.f.","","A gold or silver mounted pole kept by a gate-keeper","","25"
"Chhaṛiyá","n.m.","","A gate-keeper of a chief's palace; a pestle","","25"
"Chhaṛṇu","v.t. re.","","To pound, to beat in a mortar","f. -í, pl. -é","25"
"Chháṛṇu","v.t. re.","","To set free, to release, to leave","f. -í, pl. -é","25"
"Chhaṛowṇu","v.t. re.","","To take by force","f. -í, pl. -é","25"
"Chhatar","n.m.","S. Chhatra","A deity's silver umbrella; an umbrella, a canopy","","25"
"Chháṭí","n.f.","","A stick","","25"
"Chhaṭh","n.f.","S. Shaṣhṭī","The sixth day of the bright or dark half of a month.","Also a ceremony observed on the sixth day after the birth of a son, when Shaṣhṭī Devī is worshipped and a grand feast is given to all.","25"
"Chháṭṭí","n.f.","","A small stick","","25"
"Chhattá","n.m.","S. Chatra","An umbrella","pl. -é","25"
"Chhau","adj.","H. chhah","6","-wáň, m.; -wíň, f.; -weň, pl. 6th","25"
"Chháub","n.f.","","An agricultural implement (used in Bashahr)","","25"
"Chháuṭu","n.m.","","A kind of implement to cut leaves and grass for cattle bedding. It is like a small hatchet.","","25"
"Chháwṇu","v.t. re.","","See Chháṇu","","25"
"Chhḍáwṇu","v.t. re.","","(1) To cause or allow to release or leave; (2) To take off","f. -í, pl. -é","25"
"Chhé","adj.","","See Chhau","","25"
"Chhechár","n.m.","S. ṣhaṭ, six, and upachāra, a gift","A ceremony observed at weddings in Chambá and the Simla Hill States when the bridegroom reaches the bride's house with the wedding procession. At the gate the bride's father gives him (1) water to wash his feet, (2) a tilak of sandal, (3) a garland, (4) a robe, (5) a betelnut and (6) an ornament, i.e., a gold ring.","","25"
"Chhéi","n.f.","","A store of wood or fuel","-láṇí, v.t. re. To store fuel","25"
"Chhejá or -ú","n.m.","","A thin stick","f. -í, pl. -é","25"
"Chhé'k","n.m.","","A tearing","-ṇu, v.t. re. (1) To tear; (2) To put out of caste","25"
"Chhekaṇ","n.m.","","A tear, separating","","25"
"Chhekṇu","v.t. re.","","(1) To tear, to break; (2) To put out of caste, to excommunicate","","25"
"Chekuwáṇu","v.i. re.","","To be torn or separated","","25"
"Chhelá or -u","n.m.","","A kid","f. -í, pl. -é","25"
"Chhehá","n.f.","","A she-kid","","25"
"Chhelṭú","n.m.","","A kid","f. -í, pl. -é","25"
"Chhéo, chhéw","n.m.","","End","-hoṇá, v.i. ir. To be no more","25"
"Chhéorí","n.f.","","(1) A woman; (2) A wife","also chheúrí","25"
"Chhé'r","n.f.","","(1) War, a battle; (2) Sound","-u, v.t. re. To stir up","25"
"Chheṛá","n.m.","","A stirring about; (1) Irritation; (2) An invasion; (3) An invitation","-deṇá, v.t. re. To give a stirring","26"
"Chheṛáwá","n.m.","","Invitation","","26"
"Chheṛáwṇu","v.t. re.","","(1) To cause to stir; (2) To cause to irritate","f. -í, pl. -é","26"
"Chheṛáwṇú","v.t. re.","","To fight","f. -í, pl. -é","26"
"Chheṛṇu","v.t. re.","","To irritate, to annoy, to trouble","","26"
"Chheṭe","adv.","","Once on a time","","26"
"Chheṛ","n.f.","","A married woman's private property (in Kullu)","In Bashahr it is termed Istrī-dhan","26"
"Chhéo","n.m.","","See Chheo","","26"
"Chhéwṇu","v.t. re.","","(1) To pay off; (2) To settle","f. -í, pl. -é","26"
"Chhibá","n.m.","","A sept of Kanets found in the Chhabroṭ parganá and elsewhere","pl. -o","26"
"Chhichhṛá","n.m.","","A bit, piece","f. -í, pl. -é","26"
"Chhiddar","n.m.","S. Chhidra","A hole","","26"
"Chhíj-bij","n.m.","","The balance of an account","","26"
"Chhíjṇu","v.t. re.","","To be destroyed, to be no more, to end","","26"
"Chhīk","n.f.","S. Chhikka","A sneeze","","26"
"Chhiká","n.m.","","A net made of twine, used to hang a vessel in","f. -í, pl. -é","26"
"Chhīkṇu","v.i. re.","","To sneeze","","26"
"Chhilṇu","v.t. re.","","To bark, to peel","f. -í, pl. -é","26"
"Chhīlṇu","v.i. re.","","(1) To make faces; (2) To mock","f. -í, pl. -é","26"
"Chhimbá","n.m.","","A washerman","f. -í, pl. -é","26"
"Chhimchhu","n.f.","","The eve, evening","-é, In the evening","26"
"Chhimáṇṭ","n.m.","","Sunset","-hoṇu, v.s. re. To become evening; -yé, adv. By sunset","26"
"Chhimbá","n.m.","","A goshawk","","26"
"Chhíṇchhi","n.f.","","A kind of wild plant","","26"
"Chhíṇí","n.f.","","A chisel","","26"
"Chhīṇ-ṇu","v.t. re.","","To lop, to cut","f. -í, pl. -é","26"
"Chhīṇw","n.f.","","The shadow of the setting sun","pl. -é","26"
"Chhīr or Chhírá","n.m.","","Wood, fuel","","26"
"Chhīr","n.f.","","A splinter","-gaḍṇí, v.s. re. To be pierced with a wooden splinter","26"
"Chhírkaṇu","v.t. re.","H. chhiṛkná","To sprinkle","","26"
"Chhirkí","n.f.","","Fuel or wood","Also shukrí","26"
"Chhīṭ","n.f.","","A drop or drops of water, etc.","","26"
"Chhitar or chhitr","n.m.","","Old shoes","","26"
"Chhīṭaṇu","v.i. re.","","To get wet","f. -í, pl. -é","26"
"Chhó","n.m. pl.","","A spring of water","-fáṭṇe, v.i. re. To spring from the earth (used of water in the rainy season)","26"
"Chhói","n.f.","","Soap water distilled from ashes to wash clothes","-láṇí, v.i. re. To distil water from ashes","26"
"Chhokrá or -ú","n.m.","H. chhokrá","Son, lad, boy","pl. -é. fem. Chhokrí, A female attendant on a chief","26"
"Chholṇu","v.t. re.","","(1) To churn; (2) To dissolve","f. -í, pl. -é","27"
"Chhó't","n.f.","","Defilement, pollutedness","","27"
"Chhoṭá or -u","adj.","","Small, short","-jáṇá, v.s. re. To fall short","m.; f. -í, pl. -é","27"
"Chhó'ṭá or -u","n.m.","","A son, boy or lad","f. -í, pl. -é","27"
"Chhoṭī","n.f.","","Urine","-karṇí, v.s. re. To make water (also chhoṭī-beṭhṇu)","27"
"Chhoṭlá","adj.","","Defiled, polluted","m. -á, pl. -é. Menstruous.","27"
"Chhubkuwe-náchnu","v.a. re.","","See Chubkuwe-náchṇu","","27"
"Chhukrá","n.m.","","A musical measure","","27"
"Chhulṇu","v.i. re.","","To jump and skip to avoid an arrow","","27"
"Chhúňlí","n.f.","","A term used for 2 bighás of land","","27"
"Chhúňwṇu","v.t. re.","H. chhúná","To touch","f. -í, pl. -é","27"
"Chhúru","adj. m.","","A handful","","27"
"Chhúṭ","n.f.","","(1) Leisure; (2) Remission","-ní-hoṇí, v.i. ir. To have no leisure","27"
"Chhuṭṇu","v.i. re.","","To get rid, to escape, to be left","f. -í, pl. -é","27"
"Chhuṭṭ","adv.","","See Chháṇite","","27"
"Chhwaiň","n.m.","","Leafy bedding for cattle, used to make manure","","27"
"Chhwáṇu","v.t. re.","","(1) To spread; (2) To set a roof","f. -í, pl. -é","27"
"Chhwáňwá","n.m.","","The act of touching","-láṇá, v.a.i. re. To be touched","27"
"Chhwáňwéň","adv.","","At the setting place, the west","","27"
"Chhyúrá","n.m.","H. chárá","Fodder","","27"
"Chhyúrá","n.m.","","A courtyard","","27"
"Chí","n.f.","","A pine tree","Also chīl","27"
"Chīj","n.f.","H. chīz","A thing, an article","pl. -o, Things","27"
"Chijá","adj.","","See Chauṇ","","27"
"Chiji","adj.","","See Chauṇ","","27"
"Chik","n.f.","","Mud or earth","-láṇí, v.i. re. To clean the hands with mud and water after going to stool. (also chīk).","27"
"Chikṇáhaṭ","n.m.","","Slippery; A patch of smooth mud","","27"
"Chikṇá or -u","adj.","","Smooth","m.; f. -í, pl. -é","27"
"Chīl","n.f.","","A kite","","27"
"Chilam","n.f.","","Mouthpiece of a huqqá","","27"
"Chilk","n.f.","","The morning sunshine on the highest peaks","-parṇí, v.i. re. To appear, of sunshine on the peaks; -paṛi-jáṇí, v.i. ir. To have appeared...","27"
"Chilṛá or chilṭá","n.m. pl.","","A kind of bread","pl. -é","27"
"Chimṛáw-ṇu","v.t. re.","","To attach, to paste","f. -í, pl. -é","27"
"Chimṛaṇu","v.t. re.","","To adhere, to cling to","f. -í, pl. -é","27"
"Chimṛí","n.f.","","The yellow wasp","","27"
"Chimṭá","n.m.","H. chimṭá","Tongs","f. -í, A small tongs; pl. -é","27"
"Chimṭṇu","v.v. re.","","To be hurt","","27"
"Chiňg","n.f.","","Cry, screaming","-ṇu, v.i. re. To scream","27"
"Chíṇ or chíṇe","n.f.","","A kind of corn","","27"
"Chīṇ-ṇú","v.t. re.","","To recognise","f. -í, pl. -é","27"
"Chiṇ-ṇu","v.t. re.","","To build, to erect","f. -í, pl. -é","27"
"Chinthá","n.m.","","The back of the head","","28"
